id;created_date;points;lat;log
1;2020-01-07T18:08:25;72208;monitor Metal;Metal
2;2020-01-06T22:31:59;45274;web-enabled eyeballs;Optimized New Mexico Borders
3;2020-01-07T06:19:53;11172;Soft;strategic Chief
4;2020-01-07T12:15:02;40530;Self-enabling;Credit Card Account real-time olive
5;2020-01-07T20:45:15;87156;haptic indexing Legacy;web services Fish
6;2020-01-07T11:17:41;56973;facilitate Frozen;website Venezuela array
7;2020-01-07T13:52:12;91039;Borders Island;Tuna
8;2020-01-07T14:46:18;62285;index;transmitter
9;2020-01-07T09:13:46;43094;fuchsia Small;24/365 Serbian Dinar Nebraska
10;2020-01-07T01:11:34;75323;deposit Avon;facilitate
