id;branch_name;address;manager_name;created_date;status;comments
1;California Baby Public-key;Configuration leading edge green;North Carolina;2020-01-07T08:48:18;EXPIRE;Engineer Towels
2;1080p;program North Korean Won Frozen;Haven violet Home;2020-01-07T13:23:52;EXPIRE;orchid Awesome
3;neural-net AI Gloves;back-end Lebanese Pound withdrawal;withdrawal deposit;2020-01-06T22:19:40;INACTIVE;mobile
4;deposit;GB;Marketing Practical;2020-01-07T05:28:14;ACTIVE;wireless USB Sausages
5;Handcrafted Soft Fish mindshare;Senior Rupiah Gorgeous Cotton Pants;withdrawal firewall Customer;2020-01-07T09:55:07;INACTIVE;Wooden
6;24/365;Auto Loan Account Strategist;Buckinghamshire Director;2020-01-07T13:29:55;EXPIRE;utilize
7;yellow RAM;strategy Home Loan Account;throughput Shoes;2020-01-07T09:24:51;INACTIVE;hard drive Handmade
8;RSS;Generic New Caledonia;fuchsia calculating Multi-tiered;2020-01-07T11:35:28;EXPIRE;Springs deposit
9;green;Boliviano Mvdol methodologies SMTP;Handcrafted Frozen Bacon payment Tuna;2020-01-07T12:38:34;ACTIVE;Stand-alone Factors
10;index web-enabled;Home Loan Account Wisconsin;knowledge user;2020-01-07T05:31:24;ACTIVE;Vermont Money Market Account Gorgeous Fresh Shoes
