id;day;start_hour;start_minute;end_hour;end_minute
1;payment Savings Account;12792;87987;33918;96743
2;Well bus;90007;72517;3664;18346
3;customer loyalty Iowa Organized;56369;87406;71336;58856
4;Borders Optimization;8045;15853;21476;69388
5;violet Borders;85703;35440;75703;87432
6;open-source Planner best-of-breed;89240;25665;25224;63144
7;mobile GB Forward;44927;32565;61593;53341
8;Lead New Mexico array;75782;94398;7928;42371
9;Berkshire Jamaica;74915;47203;67566;86462
10;Savings Account Persistent;13520;58557;75020;23537
